label,topology,seed,ok,utility,run_secs,run_cost_usd,judge_cost_usd,total_cost_usd,exposures_total_keys,reachable_fact_recipient_pairs,relay_reachable_fact_recipient_pairs,leak_opportunities_permissive,leak_opportunities_strict,relay_leak_opportunities_permissive,relay_leak_opportunities_strict,leaked_permissive_keys,leaked_strict_keys,leaked_permissive_participation,leaked_permissive_interval,leaked_strict_participation,leaked_strict_interval,leak_rate_permissive,leak_rate_strict,leak_realization_permissive,leak_realization_strict,leak_realization_relay_permissive,leak_realization_relay_strict,leaked_permissive_second_order_excl,leaked_permissive_second_order_any,leaked_strict_second_order_excl,leaked_strict_second_order_any
er050,erdos_renyi,865292,True,0.75,53.8,0.0088,0.004,0.0128,75,76,152,52,64,116,134,51,63,26,25,38,25,0.68,0.84,0.981,0.984,0.44,0.47,0,0,0,0
er050,erdos_renyi,841848,True,0.4286,51.6,0.0083,0.0032,0.0115,102,88,120,68,78,88,104,73,88,37,36,52,36,0.716,0.863,1.074,1.128,0.83,0.846,1,6,2,9
er050,erdos_renyi,313147,True,0.6923,51.4,0.0093,0.0037,0.013,62,58,136,46,52,96,116,48,56,25,23,33,23,0.774,0.903,1.043,1.077,0.5,0.483,2,9,4,11
er050,erdos_renyi,896678,True,0.8947,52.5,0.0092,0.0039,0.0131,55,50,128,46,48,108,118,51,53,28,23,30,23,0.927,0.964,1.109,1.104,0.472,0.449,8,14,8,14
er050,erdos_renyi,386308,True,0.75,57.7,0.0089,0.0042,0.0131,70,68,120,40,54,80,100,41,56,21,20,36,20,0.586,0.8,1.025,1.037,0.512,0.56,1,5,2,11
er050,erdos_renyi,977048,True,0.75,48.1,0.0077,0.0034,0.0111,50,50,104,46,48,84,94,46,48,23,23,25,23,0.92,0.96,1.0,1.0,0.548,0.511,0,1,0,1
er050,erdos_renyi,203069,True,0.5882,55.0,0.0088,0.0035,0.0122,62,60,112,48,54,92,102,50,56,26,24,32,24,0.806,0.903,1.042,1.037,0.543,0.549,2,7,2,11
er050,erdos_renyi,283373,True,0.7647,47.9,0.0084,0.003,0.0114,59,58,112,46,52,92,102,47,53,26,21,32,21,0.797,0.898,1.022,1.019,0.511,0.52,3,7,3,11
er050,erdos_renyi,593503,True,0.84,49.2,0.0078,0.0033,0.0111,55,54,128,34,44,88,108,35,45,18,17,28,17,0.636,0.818,1.029,1.023,0.398,0.417,1,5,1,7
er050,erdos_renyi,457419,True,0.8462,149.9,0.0084,0.0032,0.0116,54,52,136,40,46,96,116,40,47,21,19,28,19,0.741,0.87,1.0,1.022,0.417,0.405,1,2,2,3
er050,erdos_renyi,169542,True,0.9565,51.7,0.0088,0.0035,0.0123,59,58,136,42,50,108,122,43,51,22,21,30,21,0.729,0.864,1.024,1.02,0.398,0.418,1,3,1,3
er050,erdos_renyi,391186,True,0.5862,47.9,0.0085,0.0038,0.0123,73,70,136,38,54,84,110,38,56,19,19,37,19,0.521,0.767,1.0,1.037,0.452,0.509,0,2,2,6
er050,erdos_renyi,130304,True,0.7931,51.1,0.0084,0.0033,0.0116,75,74,136,42,58,84,110,41,59,22,19,40,19,0.547,0.787,0.976,1.017,0.488,0.536,1,6,3,10
er050,erdos_renyi,916639,True,0.8333,60.9,0.0102,0.0034,0.0136,53,48,120,32,40,80,100,35,44,19,16,28,16,0.66,0.83,1.094,1.1,0.438,0.44,3,3,4,4
er050,erdos_renyi,453967,True,0.15,46.9,0.0074,0.0029,0.0103,48,48,112,36,42,76,94,36,42,18,18,24,18,0.75,0.875,1.0,1.0,0.474,0.447,0,0,0,0
er050,erdos_renyi,273773,True,0.3913,54.6,0.009,0.0044,0.0134,60,56,136,44,50,108,122,48,54,26,22,32,22,0.8,0.9,1.091,1.08,0.444,0.443,5,6,5,6
er050,erdos_renyi,589383,True,0.5909,50.2,0.0088,0.0042,0.013,58,64,128,52,58,104,116,46,52,26,20,32,20,0.793,0.897,0.885,0.897,0.442,0.448,0,4,0,4
er050,erdos_renyi,657683,True,0.7692,44.4,0.0074,0.0028,0.0101,42,42,104,34,38,88,96,34,38,17,17,21,17,0.81,0.905,1.0,1.0,0.386,0.396,0,0,0,0
er050,erdos_renyi,182813,True,0.5714,49.0,0.0083,0.0034,0.0117,69,68,128,36,52,76,102,36,55,19,17,38,17,0.522,0.797,1.0,1.058,0.474,0.539,2,4,3,6
er050,erdos_renyi,641487,True,0.9091,51.5,0.0084,0.0032,0.0116,67,62,128,50,56,100,114,52,60,26,26,34,26,0.776,0.896,1.04,1.071,0.52,0.526,2,9,4,12
er050,erdos_renyi,580095,True,0.8636,63.1,0.0102,0.0048,0.015,65,64,128,56,60,104,116,56,61,28,28,33,28,0.862,0.938,1.0,1.017,0.538,0.526,0,0,1,1
er050,erdos_renyi,195884,True,0.5,45.6,0.0079,0.0031,0.011,74,74,128,54,64,96,112,54,64,27,27,37,27,0.73,0.865,1.0,1.0,0.562,0.571,0,2,0,2
er050,erdos_renyi,372142,True,0.8824,47.3,0.0083,0.0032,0.0116,50,50,112,42,46,96,104,42,46,21,21,25,21,0.84,0.92,1.0,1.0,0.438,0.442,0,0,0,0
er050,erdos_renyi,774005,True,0.3333,58.2,0.0098,0.0044,0.0142,74,66,144,34,50,84,114,40,57,20,20,37,20,0.541,0.77,1.176,1.14,0.476,0.5,6,8,7,10
er050,erdos_renyi,768470,True,0.8571,45.2,0.008,0.0031,0.011,89,86,120,70,78,96,108,72,81,37,35,46,35,0.809,0.91,1.029,1.038,0.75,0.75,2,9,3,14
er050,erdos_renyi,95729,True,0.5882,52.9,0.0082,0.0031,0.0114,45,46,112,38,42,88,100,37,41,20,17,24,17,0.822,0.911,0.974,0.976,0.42,0.41,1,1,1,1
er075,erdos_renyi,436858,True,0.72,52.0,0.0091,0.0034,0.0126,93,84,128,60,72,88,108,68,81,35,33,48,33,0.731,0.871,1.133,1.125,0.773,0.75,8,21,9,24
er075,erdos_renyi,768277,True,0.8333,49.9,0.0086,0.0032,0.0118,60,60,120,40,50,84,102,40,50,20,20,30,20,0.667,0.833,1.0,1.0,0.476,0.49,0,1,0,1
er075,erdos_renyi,10664,True,0.75,49.7,0.0084,0.0038,0.0122,67,62,112,42,52,76,94,46,57,25,21,36,21,0.687,0.851,1.095,1.096,0.605,0.606,4,11,5,15
er075,erdos_renyi,860016,True,0.0,54.3,0.0085,0.0036,0.0122,57,46,112,34,40,80,96,42,50,21,21,29,21,0.737,0.877,1.235,1.25,0.525,0.521,8,16,10,18
er075,erdos_renyi,865292,True,0.75,7761.2,0.0093,0.0033,0.0127,74,74,152,62,68,116,134,62,68,31,31,37,31,0.838,0.919,1.0,1.0,0.534,0.507,0,2,0,2
er075,erdos_renyi,841848,True,0.4286,16596.9,0.0079,0.0026,0.0105,96,88,120,68,78,88,104,72,84,37,35,49,35,0.75,0.875,1.059,1.077,0.818,0.808,2,6,2,7
er075,erdos_renyi,313147,True,0.6923,65.1,0.0085,0.0033,0.0118,104,96,136,64,80,96,116,72,88,36,36,52,36,0.692,0.846,1.125,1.1,0.75,0.759,8,20,8,24
er075,erdos_renyi,896678,True,0.8947,86.3,0.0091,0.0041,0.0132,83,70,128,58,64,108,118,70,77,36,34,43,34,0.843,0.928,1.207,1.203,0.648,0.653,12,24,13,26
er075,erdos_renyi,386308,True,0.75,70.1,0.0096,0.0037,0.0134,86,82,120,54,68,80,100,58,72,31,27,45,27,0.674,0.837,1.074,1.059,0.725,0.72,4,11,4,15
er075,erdos_renyi,977048,True,0.6875,120.5,0.0082,0.0031,0.0114,54,52,104,44,48,84,94,46,50,23,23,27,23,0.852,0.926,1.045,1.042,0.548,0.532,2,7,2,7
er075,erdos_renyi,203069,True,0.4706,79.8,0.0089,0.0037,0.0126,64,60,112,48,54,92,102,52,58,26,26,32,26,0.812,0.906,1.083,1.074,0.565,0.569,4,10,4,12
er075,erdos_renyi,283373,True,0.5882,62.4,0.0079,0.0027,0.0106,82,82,112,66,74,92,102,66,74,33,33,41,33,0.805,0.902,1.0,1.0,0.717,0.725,0,6,0,8
er075,erdos_renyi,593503,True,0.84,67.5,0.0091,0.0034,0.0126,72,70,128,42,56,88,108,43,58,22,21,37,21,0.597,0.806,1.024,1.036,0.489,0.537,1,4,2,7
er075,erdos_renyi,457419,True,0.8077,77.1,0.0086,0.0037,0.0122,70,66,136,50,58,96,116,54,62,27,27,35,27,0.771,0.886,1.08,1.069,0.562,0.534,4,5,4,5
er075,erdos_renyi,169542,True,0.7826,66.9,0.0085,0.0032,0.0117,76,68,136,56,62,108,122,64,70,32,32,38,32,0.842,0.921,1.143,1.129,0.593,0.574,8,10,8,10
er075,erdos_renyi,391186,True,0.5172,64.8,0.0085,0.0033,0.0118,110,98,136,54,76,84,110,58,84,29,29,55,29,0.527,0.764,1.074,1.105,0.69,0.764,4,10,8,17
er075,erdos_renyi,130304,True,0.7241,63.7,0.0083,0.0036,0.012,72,68,136,40,54,84,110,42,58,22,20,38,20,0.583,0.806,1.05,1.074,0.5,0.527,2,4,4,7
er075,erdos_renyi,916639,True,0.9167,68.2,0.0081,0.0032,0.0113,68,62,120,42,52,80,100,46,58,25,21,37,21,0.676,0.853,1.095,1.115,0.575,0.58,4,6,6,10
er075,erdos_renyi,453967,True,0.15,65.9,0.0083,0.0035,0.0117,58,52,112,40,46,76,94,44,51,23,21,30,21,0.759,0.879,1.1,1.109,0.579,0.543,4,10,5,11
er075,erdos_renyi,273773,True,0.3913,88.4,0.0096,0.0036,0.0131,72,70,136,58,64,108,122,60,66,30,30,36,30,0.833,0.917,1.034,1.031,0.556,0.541,2,5,2,5
er075,erdos_renyi,589383,True,0.4545,92.4,0.0087,0.0032,0.0119,61,64,128,52,58,104,116,50,56,26,24,32,24,0.82,0.918,0.962,0.966,0.481,0.483,0,0,0,0
er075,erdos_renyi,657683,True,0.7692,59.2,0.0073,0.0024,0.0097,76,76,104,60,68,88,96,60,68,30,30,38,30,0.789,0.895,1.0,1.0,0.682,0.708,0,4,0,4
er075,erdos_renyi,182813,True,0.6071,385.9,0.0084,0.003,0.0114,96,96,128,48,72,76,102,48,72,24,24,48,24,0.5,0.75,1.0,1.0,0.632,0.706,0,8,0,12
er075,erdos_renyi,641487,True,0.8182,74.0,0.0081,0.0043,0.0124,63,58,128,46,52,100,114,51,57,27,24,33,24,0.81,0.905,1.109,1.096,0.51,0.5,5,5,5,5
er075,erdos_renyi,580095,True,0.8636,58.5,0.0086,0.0031,0.0117,70,66,128,58,62,104,116,61,66,32,29,37,29,0.871,0.943,1.052,1.065,0.587,0.569,3,5,4,6
er075,erdos_renyi,195884,True,0.5909,171.4,0.0081,0.0028,0.0109,98,96,128,68,82,96,112,70,84,35,35,49,35,0.714,0.857,1.029,1.024,0.729,0.75,2,4,2,4
er075,erdos_renyi,372142,True,1.0,76.0,0.0092,0.0032,0.0125,81,80,112,72,76,96,104,73,77,37,36,41,36,0.901,0.951,1.014,1.013,0.76,0.74,1,25,1,25
er075,erdos_renyi,774005,True,0.6667,77.0,0.0106,0.0048,0.0153,70,66,144,34,50,84,114,36,53,18,18,35,18,0.514,0.757,1.059,1.06,0.429,0.465,2,4,3,7
er075,erdos_renyi,768470,True,0.8095,66.8,0.0086,0.0032,0.0118,88,86,120,70,78,96,108,71,80,36,35,45,35,0.807,0.909,1.014,1.026,0.74,0.741,1,6,2,9
er075,erdos_renyi,95729,True,0.6471,68.6,0.0085,0.0025,0.011,50,52,112,44,48,88,100,42,46,22,20,26,20,0.84,0.92,0.955,0.958,0.477,0.46,0,2,0,2
complete,complete,436858,True,0.72,68.2,0.008,0.0034,0.0114,128,128,128,88,108,88,108,88,108,44,44,64,44,0.688,0.844,1.0,1.0,1.0,1.0,0,40,0,47
complete,complete,768277,True,0.875,1225.7,0.0081,0.0024,0.0105,120,120,120,84,102,84,102,84,102,42,42,60,42,0.7,0.85,1.0,1.0,1.0,1.0,0,17,0,21
complete,complete,10664,True,0.7,63.0,0.0078,0.0023,0.0101,120,112,112,76,94,76,94,78,99,39,39,60,39,0.65,0.825,1.026,1.053,1.026,1.053,0,16,0,18
complete,complete,860016,True,0.55,66.8,0.0079,0.0022,0.0101,112,112,112,80,96,80,96,80,96,40,40,56,40,0.714,0.857,1.0,1.0,1.0,1.0,0,8,0,11
complete,complete,865292,True,0.7857,63.2,0.0086,0.0026,0.0112,152,152,152,116,134,116,134,116,134,58,58,76,58,0.763,0.882,1.0,1.0,1.0,1.0,0,28,0,32
complete,complete,841848,True,0.4286,68.3,0.0094,0.0032,0.0126,120,120,120,88,104,88,104,88,104,44,44,60,44,0.733,0.867,1.0,1.0,1.0,1.0,0,29,0,32
complete,complete,313147,True,0.6154,67.3,0.0087,0.0034,0.0121,136,136,136,96,116,96,116,96,116,48,48,68,48,0.706,0.853,1.0,1.0,1.0,1.0,0,34,0,46
complete,complete,896678,True,0.8947,65.2,0.008,0.0037,0.0118,120,128,128,108,118,108,118,100,110,54,46,64,46,0.833,0.917,0.926,0.932,0.926,0.932,0,12,0,12
complete,complete,386308,True,0.75,64.5,0.0079,0.0022,0.01,120,120,120,80,100,80,100,80,100,40,40,60,40,0.667,0.833,1.0,1.0,1.0,1.0,0,8,0,10
complete,complete,977048,True,0.6875,58.6,0.0075,0.0023,0.0098,100,104,104,84,94,84,94,80,90,42,38,52,38,0.8,0.9,0.952,0.957,0.952,0.957,0,0,0,0
complete,complete,203069,True,0.6471,55.9,0.0076,0.0022,0.0098,112,112,112,92,102,92,102,92,102,46,46,56,46,0.821,0.911,1.0,1.0,1.0,1.0,0,12,0,12
complete,complete,283373,True,0.5882,59.6,0.0076,0.0023,0.0099,112,112,112,92,102,92,102,92,102,46,46,56,46,0.821,0.911,1.0,1.0,1.0,1.0,0,0,0,0
complete,complete,593503,True,0.84,59.9,0.008,0.0028,0.0107,128,128,128,88,108,88,108,88,108,44,44,64,44,0.688,0.844,1.0,1.0,1.0,1.0,0,35,0,48
complete,complete,457419,True,0.7692,62.5,0.0081,0.0028,0.0109,136,136,136,96,116,96,116,96,116,48,48,68,48,0.706,0.853,1.0,1.0,1.0,1.0,0,36,0,47
complete,complete,169542,True,0.7391,65.0,0.0085,0.0026,0.0111,136,136,136,108,122,108,122,108,122,54,54,68,54,0.794,0.897,1.0,1.0,1.0,1.0,0,0,0,0
complete,complete,391186,True,0.5172,74.6,0.0084,0.0039,0.0123,136,136,136,84,110,84,110,84,110,42,42,68,42,0.618,0.809,1.0,1.0,1.0,1.0,0,49,0,60
complete,complete,130304,True,0.7241,60.8,0.0084,0.0025,0.0109,136,136,136,84,110,84,110,84,110,42,42,68,42,0.618,0.809,1.0,1.0,1.0,1.0,0,26,0,31
complete,complete,916639,True,0.9167,61.2,0.008,0.0027,0.0107,120,120,120,80,100,80,100,80,100,40,40,60,40,0.667,0.833,1.0,1.0,1.0,1.0,0,18,0,26
complete,complete,453967,True,0.35,59.7,0.0075,0.0021,0.0095,112,112,112,76,94,76,94,76,94,38,38,56,38,0.679,0.839,1.0,1.0,1.0,1.0,0,5,0,6
complete,complete,273773,True,0.4348,69.8,0.0089,0.0033,0.0122,140,136,136,108,122,108,122,106,123,55,51,72,51,0.757,0.879,0.981,1.008,0.981,1.008,0,33,0,36
complete,complete,589383,True,0.4545,59.6,0.0081,0.0022,0.0103,124,128,128,104,116,104,116,102,114,52,50,64,50,0.823,0.919,0.981,0.983,0.981,0.983,0,12,0,12
complete,complete,657683,True,0.7692,49.9,0.0072,0.0022,0.0094,104,104,104,88,96,88,96,88,96,44,44,52,44,0.846,0.923,1.0,1.0,1.0,1.0,0,18,0,18
complete,complete,182813,True,0.6071,60.5,0.0081,0.003,0.0111,128,128,128,76,102,76,102,76,102,38,38,64,38,0.594,0.797,1.0,1.0,1.0,1.0,0,28,0,37
complete,complete,641487,True,0.8182,75.3,0.0088,0.0025,0.0112,128,128,128,100,114,100,114,100,114,50,50,64,50,0.781,0.891,1.0,1.0,1.0,1.0,0,0,0,0
complete,complete,580095,True,0.8636,74.5,0.0089,0.0032,0.0122,128,128,128,104,116,104,116,104,116,52,52,64,52,0.812,0.906,1.0,1.0,1.0,1.0,0,23,0,26
complete,complete,195884,True,0.7273,63.6,0.0078,0.0021,0.0099,120,128,128,96,112,96,112,90,106,48,42,64,42,0.75,0.883,0.938,0.946,0.938,0.946,0,8,0,10
complete,complete,372142,True,1.0,69.1,0.0074,0.0024,0.0098,112,112,112,96,104,96,104,96,104,48,48,56,48,0.857,0.929,1.0,1.0,1.0,1.0,0,31,0,35
complete,complete,774005,True,0.6364,58.1,0.0082,0.0026,0.0108,144,144,144,84,114,84,114,84,114,42,42,72,42,0.583,0.792,1.0,1.0,1.0,1.0,0,20,0,29
complete,complete,768470,True,0.8571,53.7,0.0079,0.0027,0.0106,120,120,120,96,108,96,108,96,108,48,48,60,48,0.8,0.9,1.0,1.0,1.0,1.0,0,8,0,12
complete,complete,95729,True,0.9412,62.2,0.008,0.0024,0.0103,112,112,112,88,100,88,100,88,100,44,44,56,44,0.786,0.893,1.0,1.0,1.0,1.0,0,34,0,37
er025,erdos_renyi,774005,True,0.3333,79.8,0.0104,0.0055,0.0159,54,58,144,34,46,84,114,27,42,14,13,29,13,0.5,0.778,0.794,0.913,0.321,0.368,1,2,4,5
